epoch,train_loss,valid_loss,dice,time
0,0.4234897196292877,0.4736464321613312,0.8091424237766741,00:35
1,0.3628854751586914,0.4232054352760315,0.8282945198080158,00:35
2,0.31021109223365784,0.37405329942703247,0.8407130596558013,00:34
3,0.286673367023468,0.3138049840927124,0.847530519219686,00:35
4,0.2598936855792999,0.2892908751964569,0.845749337329039,00:35
5,0.2347475290298462,0.2538813352584839,0.8474104947460113,00:35
6,0.22296759486198425,0.27209192514419556,0.8352256639834802,00:35
7,0.2010211944580078,0.26291701197624207,0.8441375463647266,00:35
8,0.1968761831521988,0.24732282757759094,0.8490333365899198,00:35
9,0.1958630234003067,0.3105408549308777,0.8064069251809529,00:35
10,0.19821307063102722,0.2560771405696869,0.8306316998208474,00:35
11,0.1765015721321106,0.2398137003183365,0.8470271208867535,00:35
12,0.1889493465423584,0.2654738426208496,0.8404316525059419,00:35
13,0.1810365915298462,0.3615373969078064,0.77736996400612,00:35
14,0.16156020760536194,0.2993687689304352,0.8102713377314905,00:34
15,0.15020209550857544,0.24498435854911804,0.8418188484712501,00:35
16,0.14470623433589935,0.24626755714416504,0.8520984469643612,00:34
17,0.14609766006469727,0.26084980368614197,0.8323250212443113,00:35
18,0.13653291761875153,0.21146361529827118,0.8690656216398899,00:35
19,0.14175066351890564,0.23469442129135132,0.8484184269534855,00:35
20,0.13360518217086792,0.23942402005195618,0.8482321051568317,00:34
21,0.12985892593860626,0.24260738492012024,0.8491964438741205,00:34
22,0.12655378878116608,0.2329806238412857,0.8512734742044391,00:34
23,0.12701670825481415,0.23678040504455566,0.8476780089683316,00:34
24,0.12105349451303482,0.26225030422210693,0.83846516641962,00:34
25,0.12108728289604187,0.25563156604766846,0.840792843896096,00:34
26,0.11636212468147278,0.24030150473117828,0.8522146877144818,00:34
27,0.12557564675807953,0.23158200085163116,0.855680766508792,00:34
28,0.11852642893791199,0.22561100125312805,0.8581330288698211,00:35
29,0.11770253628492355,0.22852987051010132,0.8573663329500469,00:34
