epoch,train_loss,valid_loss,dice,time
0,0.4398973882198334,0.38415443897247314,0.8377779856739205,00:32
1,0.4010985493659973,0.36103788018226624,0.8398002853067047,00:32
2,0.3541487157344818,0.4483697712421417,0.7872589133479985,00:32
3,0.33079126477241516,0.44150257110595703,0.7928899710138142,00:32
4,0.3113246560096741,0.38059794902801514,0.8266050803258458,00:32
5,0.2959701716899872,0.3454205393791199,0.8398784090747424,00:32
6,0.2870444059371948,0.4217950403690338,0.7987361917793738,00:32
7,0.2610485851764679,0.4939013123512268,0.7901139329337822,00:33
8,0.25548624992370605,0.4222039580345154,0.8066953374780244,00:33
9,0.24908281862735748,0.4419757127761841,0.8006723588445612,00:32
10,0.23744510114192963,0.36349278688430786,0.8312322020398896,00:33
11,0.22007888555526733,0.36437463760375977,0.8311702065319534,00:33
12,0.21898722648620605,0.37637290358543396,0.8264163438109334,00:33
13,0.2083156406879425,0.43034493923187256,0.8051562318752775,00:33
14,0.1963786482810974,0.48252880573272705,0.7848431438475026,00:32
15,0.1916019171476364,0.3892971873283386,0.8187223341921692,00:33
16,0.18137116730213165,0.419655442237854,0.8179549467894486,00:32
17,0.18075986206531525,0.39817917346954346,0.8278701837589878,00:33
18,0.17767871916294098,0.3328236937522888,0.8483278215815602,00:33
19,0.16827449202537537,0.38776853680610657,0.8280021546290142,00:32
20,0.16101449728012085,0.37622907757759094,0.831075112448367,00:32
21,0.15643896162509918,0.3962138891220093,0.8226359662982795,00:33
22,0.15614214539527893,0.34960857033729553,0.8447548735564143,00:32
23,0.15021736919879913,0.40083277225494385,0.828996311583447,00:32
24,0.15520770847797394,0.3471290171146393,0.8450137512609135,00:33
25,0.1478421539068222,0.39335957169532776,0.8315065677929818,00:33
26,0.14706715941429138,0.42717695236206055,0.819974717376386,00:33
27,0.14468038082122803,0.37353360652923584,0.8375045380126541,00:32
28,0.14495466649532318,0.3634985387325287,0.8412296173441826,00:33
29,0.14371386170387268,0.39357706904411316,0.8303956906335727,00:33
