epoch,train_loss,valid_loss,dice,time
0,0.2058664709329605,0.2573123574256897,0.9207815275310834,00:25
1,0.17465390264987946,0.2368093878030777,0.9267067090644997,00:23
2,0.15498250722885132,0.27088096737861633,0.9180224993846345,00:23
3,0.13943521678447723,0.3555360734462738,0.9030581799800932,00:23
4,0.1317736804485321,0.31019312143325806,0.913107769870898,00:23
5,0.13467688858509064,0.27177926898002625,0.9225197089473741,00:23
6,0.12001195549964905,0.2520037293434143,0.9287567038913133,00:23
7,0.1193828359246254,0.2820560932159424,0.922019784750373,00:23
8,0.10863042622804642,0.3118246793746948,0.9162528710488899,00:23
9,0.10148826241493225,0.2514469623565674,0.9287191189602143,00:23
10,0.10726261883974075,0.24864605069160461,0.9315969381122438,00:24
11,0.09816949814558029,0.26077932119369507,0.9299152953270682,00:23
12,0.09155398607254028,0.29172396659851074,0.9244076477395038,00:23
13,0.08552537113428116,0.2597925066947937,0.9309601005756634,00:23
14,0.08282055705785751,0.292485773563385,0.927711828422077,00:23
15,0.081275574862957,0.2632635533809662,0.933092026165101,00:23
16,0.07992631942033768,0.2661031484603882,0.9328097765884376,00:23
17,0.07523243129253387,0.30611127614974976,0.9269950902668035,00:23
18,0.07424331456422806,0.2712928056716919,0.9317959262973012,00:23
19,0.07248640060424805,0.31457215547561646,0.9250717434965634,00:25
20,0.07117239385843277,0.27153298258781433,0.9322215252924031,00:23
21,0.07078288495540619,0.2641184329986572,0.9333161560364615,00:23
22,0.0684887245297432,0.2814859449863434,0.9307613350607817,00:23
23,0.06852966547012329,0.2790951132774353,0.9316178115909599,00:23
24,0.06744662672281265,0.28742945194244385,0.9301599687865783,00:23
