epoch,train_loss,valid_loss,dice,time
0,0.48516374826431274,0.4021877646446228,0.883602980538544,00:16
1,0.3862570524215698,0.2905077040195465,0.9117728986422569,00:16
2,0.27101200819015503,0.2857758104801178,0.8966300907456293,00:16
3,0.25103050470352173,0.3341267704963684,0.8761329943022264,00:16
4,0.1789991855621338,0.22744432091712952,0.9190568448148688,00:16
5,0.15276136994361877,0.21706339716911316,0.9228866538680418,00:16
6,0.14190146327018738,0.2474803626537323,0.9093968517837547,00:16
7,0.1252119094133377,0.21018286049365997,0.9251360616121799,00:16
8,0.12378726899623871,0.20262479782104492,0.9279477101670347,00:16
9,0.11991225183010101,0.21562428772449493,0.9248181659774096,00:16
10,0.11815349012613297,0.21286194026470184,0.9253492243086229,00:16
