epoch,train_loss,valid_loss,dice,time
0,0.2938242256641388,0.24550274014472961,0.9208024388544972,00:32
1,0.24744179844856262,0.20530596375465393,0.932550067384775,00:32
2,0.2130199819803238,0.1983562856912613,0.9313777867329579,00:32
3,0.1984829306602478,0.2214314192533493,0.9246629128389438,00:32
4,0.16768793761730194,0.1425730586051941,0.9509376835648139,00:32
5,0.16508658230304718,0.1678597778081894,0.9370861808903164,00:32
6,0.15960153937339783,0.15467651188373566,0.9430684304779664,00:32
7,0.1521814465522766,0.17848961055278778,0.9329097694337843,00:32
8,0.14618125557899475,0.21489796042442322,0.9265899282283869,00:32
9,0.1415112018585205,0.21338070929050446,0.9283419852741567,00:32
10,0.13994140923023224,0.14605410397052765,0.9452033872664088,00:32
11,0.11742715537548065,0.18270498514175415,0.9369465163281196,00:32
12,0.11891057342290878,0.13332805037498474,0.9518006888555546,00:32
13,0.12295210361480713,0.17854629456996918,0.9403403751732563,00:32
14,0.1145048439502716,0.14753803610801697,0.9496091919631011,00:32
15,0.1074371263384819,0.14770741760730743,0.9462021021817723,00:32
16,0.10539845377206802,0.12878303229808807,0.9533539305966761,00:32
17,0.1038484200835228,0.13188761472702026,0.9507116312411364,00:32
18,0.09479757398366928,0.1371634304523468,0.949121982972907,00:32
19,0.08669876307249069,0.13813859224319458,0.9507597400937474,00:32
20,0.0875721275806427,0.13044029474258423,0.952755908312705,00:32
21,0.08727913349866867,0.12813898921012878,0.9532895455269664,00:32
22,0.08389386534690857,0.14989720284938812,0.9494312883236777,00:32
23,0.07941463589668274,0.15534061193466187,0.9474267586938824,00:32
24,0.07986811548471451,0.1429203599691391,0.9497827681543757,00:32
25,0.07886413484811783,0.144635871052742,0.9480138851508758,00:32
26,0.07754270732402802,0.1484072357416153,0.948073552597409,00:32
27,0.07634076476097107,0.14620652794837952,0.9490318142460636,00:32
28,0.07515997439622879,0.14872771501541138,0.9485917791227898,00:32
29,0.0770571231842041,0.15350402891635895,0.9475749359079335,00:32
